posting_id,company_name,company_sector,company_type,role_title,location,minimum_qualification,required_skills,positions_available,duration_months,stipend_amount,one_time_grant,work_mode,application_deadline,job_description,eligibility_criteria
18,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,AI/ML Intern,Aurangabad,Graduate,"['Machine Learning', 'Python', 'TensorFlow']",8,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in AI/ML Intern at TATA CONSULTANCY SERVICES LIMITED located in Aurangabad. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Machine Learning, Python preferred."
19,HDFC BANK LIMITED,Banking & Financial Services,Private,Banking Operations Intern,Chennai,Graduate,"['Banking', 'Customer Service', 'Excel']",6,12,5000,6000,On-site,31-12-2025,Internship opportunity in Banking Operations Intern at HDFC BANK LIMITED located in Chennai. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Banking, Customer Service preferred."
20,HDFC BANK LIMITED,Banking & Financial Services,Private,Digital Banking Intern,Navi Mumbai,Graduate,"['Digital Banking', 'Technology', 'Innovation']",6,12,5000,6000,On-site,31-12-2025,Internship opportunity in Digital Banking Intern at HDFC BANK LIMITED located in Navi Mumbai. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Digital Banking, Technology preferred."
21,HDFC BANK LIMITED,Banking & Financial Services,Private,Digital Banking Intern,Meerut,Graduate,"['Digital Banking', 'Technology', 'Innovation']",8,12,5000,6000,On-site,31-12-2025,Internship opportunity in Digital Banking Intern at HDFC BANK LIMITED located in Meerut. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Digital Banking, Technology preferred."
22,HDFC BANK LIMITED,Banking & Financial Services,Private,Digital Banking Intern,Patna,Graduate,"['Digital Banking', 'Technology', 'Innovation']",3,12,5000,6000,On-site,31-12-2025,Internship opportunity in Digital Banking Intern at HDFC BANK LIMITED located in Patna. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Digital Banking, Technology preferred."
23,HDFC BANK LIMITED,Banking & Financial Services,Private,Credit Analysis Intern,Howrah,Graduate,"['Credit Analysis', 'Financial Modeling', 'Excel']",13,12,5000,6000,On-site,31-12-2025,Internship opportunity in Credit Analysis Intern at HDFC BANK LIMITED located in Howrah. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Credit Analysis, Financial Modeling preferred."
24,HDFC BANK LIMITED,Banking & Financial Services,Private,Loan Processing Intern,Jodhpur,Graduate,"['Loan Processing', 'Documentation', 'Verification']",4,12,5000,6000,On-site,31-12-2025,Internship opportunity in Loan Processing Intern at HDFC BANK LIMITED located in Jodhpur. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Loan Processing, Documentation preferred."
25,HDFC BANK LIMITED,Banking & Financial Services,Private,Loan Processing Intern,Dhanbad,Graduate,"['Loan Processing', 'Documentation', 'Verification']",5,12,5000,6000,On-site,31-12-2025,Internship opportunity in Loan Processing Intern at HDFC BANK LIMITED located in Dhanbad. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Loan Processing, Documentation preferred."
26,HDFC BANK LIMITED,Banking & Financial Services,Private,Loan Processing Intern,Gwalior,Graduate,"['Loan Processing', 'Documentation', 'Verification']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Loan Processing Intern at HDFC BANK LIMITED located in Gwalior. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Loan Processing, Documentation preferred."
27,OIL AND NATURAL GAS CORPORATION LIMITED,Oil Gas & Energy,PSU,Pipeline Engineer Intern,Vijayawada,Graduate,"['Pipeline', 'Civil Engineering', 'Design']",10,12,5000,6000,On-site,31-12-2025,Internship opportunity in Pipeline Engineer Intern at OIL AND NATURAL GAS CORPORATION LIMITED located in Vijayawada. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Pipeline, Civil Engineering preferred."
28,OIL AND NATURAL GAS CORPORATION LIMITED,Oil Gas & Energy,PSU,Pipeline Engineer Intern,Raipur,Graduate,"['Pipeline', 'Civil Engineering', 'Design']",8,12,5000,6000,On-site,31-12-2025,Internship opportunity in Pipeline Engineer Intern at OIL AND NATURAL GAS CORPORATION LIMITED located in Raipur. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Pipeline, Civil Engineering preferred."
29,OIL AND NATURAL GAS CORPORATION LIMITED,Oil Gas & Energy,PSU,Project Management Intern,Ludhiana,Graduate,"['Project Management', 'Planning', 'Coordination']",3,12,5000,6000,On-site,31-12-2025,Internship opportunity in Project Management Intern at OIL AND NATURAL GAS CORPORATION LIMITED located in Ludhiana. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Project Management, Planning preferred."
30,OIL AND NATURAL GAS CORPORATION LIMITED,Oil Gas & Energy,PSU,Project Management Intern,Delhi,Graduate,"['Project Management', 'Planning', 'Coordination']",6,12,5000,6000,On-site,31-12-2025,Internship opportunity in Project Management Intern at OIL AND NATURAL GAS CORPORATION LIMITED located in Delhi. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Project Management, Planning preferred."
31,OIL AND NATURAL GAS CORPORATION LIMITED,Oil Gas & Energy,PSU,Process Engineer Intern,Patna,Graduate,"['Process Engineering', 'Chemical Engineering', 'Safety']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Process Engineer Intern at OIL AND NATURAL GAS CORPORATION LIMITED located in Patna. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Process Engineering, Chemical Engineering preferred."
32,OIL AND NATURAL GAS CORPORATION LIMITED,Oil Gas & Energy,PSU,Instrumentation Intern,Vadodara,Diploma,"['Instrumentation', 'Control Systems', 'Electronics']",10,12,5000,6000,On-site,31-12-2025,Internship opportunity in Instrumentation Intern at OIL AND NATURAL GAS CORPORATION LIMITED located in Vadodara. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Diploma qualification required. Skills in Instrumentation, Control Systems preferred."
33,OIL AND NATURAL GAS CORPORATION LIMITED,Oil Gas & Energy,PSU,Instrumentation Intern,Varanasi,Diploma,"['Instrumentation', 'Control Systems', 'Electronics']",8,12,5000,6000,On-site,31-12-2025,Internship opportunity in Instrumentation Intern at OIL AND NATURAL GAS CORPORATION LIMITED located in Varanasi. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Diploma qualification required. Skills in Instrumentation, Control Systems preferred."
34,OIL AND NATURAL GAS CORPORATION LIMITED,Oil Gas & Energy,PSU,Instrumentation Intern,Pimpri-Chinchwad,Diploma,"['Instrumentation', 'Control Systems', 'Electronics']",11,12,5000,6000,On-site,31-12-2025,Internship opportunity in Instrumentation Intern at OIL AND NATURAL GAS CORPORATION LIMITED located in Pimpri-Chinchwad. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Diploma qualification required. Skills in Instrumentation, Control Systems preferred."
35,INFOSYS LIMITED,IT & Software Development,Private,DevOps Intern,Ahmedabad,Graduate,"['Docker', 'Kubernetes', 'AWS']",12,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in DevOps Intern at INFOSYS LIMITED located in Ahmedabad. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Docker, Kubernetes preferred."
36,INFOSYS LIMITED,IT & Software Development,Private,Quality Assurance Intern,Vadodara,Graduate,"['Testing', 'Selenium', 'Manual Testing']",11,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Quality Assurance Intern at INFOSYS LIMITED located in Vadodara. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Testing, Selenium preferred."
37,INFOSYS LIMITED,IT & Software Development,Private,Quality Assurance Intern,Hyderabad,Graduate,"['Testing', 'Selenium', 'Manual Testing']",10,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Quality Assurance Intern at INFOSYS LIMITED located in Hyderabad. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Testing, Selenium preferred."
38,INFOSYS LIMITED,IT & Software Development,Private,Web Developer Intern,Jaipur,Graduate,"['HTML', 'CSS', 'JavaScript']",3,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Web Developer Intern at INFOSYS LIMITED located in Jaipur. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in HTML, CSS preferred."
39,INFOSYS LIMITED,IT & Software Development,Private,Web Developer Intern,Nashik,Graduate,"['HTML', 'CSS', 'JavaScript']",14,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Web Developer Intern at INFOSYS LIMITED located in Nashik. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in HTML, CSS preferred."
40,INFOSYS LIMITED,IT & Software Development,Private,Web Developer Intern,Rajkot,Graduate,"['HTML', 'CSS', 'JavaScript']",9,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Web Developer Intern at INFOSYS LIMITED located in Rajkot. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in HTML, CSS preferred."
41,INFOSYS LIMITED,IT & Software Development,Private,Data Analyst Intern,Jaipur,Graduate,"['Excel', 'SQL', 'Python']",12,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Data Analyst Intern at INFOSYS LIMITED located in Jaipur. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Excel, SQL preferred."
42,INFOSYS LIMITED,IT & Software Development,Private,Data Analyst Intern,Raipur,Graduate,"['Excel', 'SQL', 'Python']",5,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Data Analyst Intern at INFOSYS LIMITED located in Raipur. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Excel, SQL preferred."
43,INFOSYS LIMITED,IT & Software Development,Private,Data Analyst Intern,Ranchi,Graduate,"['Excel', 'SQL', 'Python']",12,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Data Analyst Intern at INFOSYS LIMITED located in Ranchi. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Excel, SQL preferred."
44,NTPC LIMITED,Oil Gas & Energy,PSU,Production Intern,Agra,Diploma,"['Production', 'Operations', 'Process Control']",4,12,5000,6000,On-site,31-12-2025,Internship opportunity in Production Intern at NTPC LIMITED located in Agra. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Diploma qualification required. Skills in Production, Operations preferred."
45,NTPC LIMITED,Oil Gas & Energy,PSU,Quality Control Intern,Nashik,Diploma,"['Quality Control', 'Testing', 'Standards']",14,12,5000,6000,On-site,31-12-2025,Internship opportunity in Quality Control Intern at NTPC LIMITED located in Nashik. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Diploma qualification required. Skills in Quality Control, Testing preferred."
46,NTPC LIMITED,Oil Gas & Energy,PSU,Safety Officer Intern,Raipur,Graduate,"['Safety Management', 'HSE', 'Compliance']",4,12,5000,6000,On-site,31-12-2025,Internship opportunity in Safety Officer Intern at NTPC LIMITED located in Raipur. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Safety Management, HSE preferred."
47,NTPC LIMITED,Oil Gas & Energy,PSU,Process Engineer Intern,Delhi,Graduate,"['Process Engineering', 'Chemical Engineering', 'Safety']",3,12,5000,6000,On-site,31-12-2025,Internship opportunity in Process Engineer Intern at NTPC LIMITED located in Delhi. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Process Engineering, Chemical Engineering preferred."
48,NTPC LIMITED,Oil Gas & Energy,PSU,Process Engineer Intern,Srinagar,Graduate,"['Process Engineering', 'Chemical Engineering', 'Safety']",5,12,5000,6000,On-site,31-12-2025,Internship opportunity in Process Engineer Intern at NTPC LIMITED located in Srinagar. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Process Engineering, Chemical Engineering preferred."
49,ITC LIMITED,FMCG,Private,Consumer Insights Intern,Visakhapatnam,Graduate,"['Market Research', 'Consumer Behavior', 'Analytics']",3,12,5000,6000,On-site,31-12-2025,Internship opportunity in Consumer Insights Intern at ITC LIMITED located in Visakhapatnam. Gain hands-on experience in FMCG sector.,"Minimum Graduate qualification required. Skills in Market Research, Consumer Behavior preferred."
50,ITC LIMITED,FMCG,Private,Digital Marketing Intern,Navi Mumbai,Graduate,"['Digital Marketing', 'Social Media', 'SEO']",4,12,5000,6000,On-site,31-12-2025,Internship opportunity in Digital Marketing Intern at ITC LIMITED located in Navi Mumbai. Gain hands-on experience in FMCG sector.,"Minimum Graduate qualification required. Skills in Digital Marketing, Social Media preferred."
51,ITC LIMITED,FMCG,Private,Brand Management Intern,Navi Mumbai,Graduate,"['Brand Management', 'Marketing', 'Strategy']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Brand Management Intern at ITC LIMITED located in Navi Mumbai. Gain hands-on experience in FMCG sector.,"Minimum Graduate qualification required. Skills in Brand Management, Marketing preferred."
52,ITC LIMITED,FMCG,Private,Brand Management Intern,Nashik,Graduate,"['Brand Management', 'Marketing', 'Strategy']",12,12,5000,6000,On-site,31-12-2025,Internship opportunity in Brand Management Intern at ITC LIMITED located in Nashik. Gain hands-on experience in FMCG sector.,"Minimum Graduate qualification required. Skills in Brand Management, Marketing preferred."
53,ITC LIMITED,FMCG,Private,Brand Management Intern,Thane,Graduate,"['Brand Management', 'Marketing', 'Strategy']",10,12,5000,6000,On-site,31-12-2025,Internship opportunity in Brand Management Intern at ITC LIMITED located in Thane. Gain hands-on experience in FMCG sector.,"Minimum Graduate qualification required. Skills in Brand Management, Marketing preferred."
54,ITC LIMITED,FMCG,Private,Supply Chain Intern,Amritsar,Graduate,"['Supply Chain', 'Logistics', 'Distribution']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Supply Chain Intern at ITC LIMITED located in Amritsar. Gain hands-on experience in FMCG sector.,"Minimum Graduate qualification required. Skills in Supply Chain, Logistics preferred."
55,ITC LIMITED,FMCG,Private,Supply Chain Intern,Jabalpur,Graduate,"['Supply Chain', 'Logistics', 'Distribution']",14,12,5000,6000,On-site,31-12-2025,Internship opportunity in Supply Chain Intern at ITC LIMITED located in Jabalpur. Gain hands-on experience in FMCG sector.,"Minimum Graduate qualification required. Skills in Supply Chain, Logistics preferred."
56,ITC LIMITED,FMCG,Private,Supply Chain Intern,Vadodara,Graduate,"['Supply Chain', 'Logistics', 'Distribution']",12,12,5000,6000,On-site,31-12-2025,Internship opportunity in Supply Chain Intern at ITC LIMITED located in Vadodara. Gain hands-on experience in FMCG sector.,"Minimum Graduate qualification required. Skills in Supply Chain, Logistics preferred."
57,INDIAN OIL CORPORATION LIMITED,Oil Gas & Energy,PSU,Project Management Intern,Vijayawada,Graduate,"['Project Management', 'Planning', 'Coordination']",3,12,5000,6000,On-site,31-12-2025,Internship opportunity in Project Management Intern at INDIAN OIL CORPORATION LIMITED located in Vijayawada. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Project Management, Planning preferred."
58,INDIAN OIL CORPORATION LIMITED,Oil Gas & Energy,PSU,Project Management Intern,Patna,Graduate,"['Project Management', 'Planning', 'Coordination']",6,12,5000,6000,On-site,31-12-2025,Internship opportunity in Project Management Intern at INDIAN OIL CORPORATION LIMITED located in Patna. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Project Management, Planning preferred."
59,INDIAN OIL CORPORATION LIMITED,Oil Gas & Energy,PSU,Project Management Intern,Nashik,Graduate,"['Project Management', 'Planning', 'Coordination']",3,12,5000,6000,On-site,31-12-2025,Internship opportunity in Project Management Intern at INDIAN OIL CORPORATION LIMITED located in Nashik. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Project Management, Planning preferred."
60,INDIAN OIL CORPORATION LIMITED,Oil Gas & Energy,PSU,Production Intern,Ahmedabad,Diploma,"['Production', 'Operations', 'Process Control']",3,12,5000,6000,On-site,31-12-2025,Internship opportunity in Production Intern at INDIAN OIL CORPORATION LIMITED located in Ahmedabad. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Diploma qualification required. Skills in Production, Operations preferred."
61,INDIAN OIL CORPORATION LIMITED,Oil Gas & Energy,PSU,Safety Officer Intern,Ahmedabad,Graduate,"['Safety Management', 'HSE', 'Compliance']",6,12,5000,6000,On-site,31-12-2025,Internship opportunity in Safety Officer Intern at INDIAN OIL CORPORATION LIMITED located in Ahmedabad. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Safety Management, HSE preferred."
62,INDIAN OIL CORPORATION LIMITED,Oil Gas & Energy,PSU,Safety Officer Intern,Vijayawada,Graduate,"['Safety Management', 'HSE', 'Compliance']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Safety Officer Intern at INDIAN OIL CORPORATION LIMITED located in Vijayawada. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Safety Management, HSE preferred."
63,INDIAN OIL CORPORATION LIMITED,Oil Gas & Energy,PSU,Instrumentation Intern,Jabalpur,Diploma,"['Instrumentation', 'Control Systems', 'Electronics']",3,12,5000,6000,On-site,31-12-2025,Internship opportunity in Instrumentation Intern at INDIAN OIL CORPORATION LIMITED located in Jabalpur. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Diploma qualification required. Skills in Instrumentation, Control Systems preferred."
64,INDIAN OIL CORPORATION LIMITED,Oil Gas & Energy,PSU,Instrumentation Intern,Allahabad,Diploma,"['Instrumentation', 'Control Systems', 'Electronics']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Instrumentation Intern at INDIAN OIL CORPORATION LIMITED located in Allahabad. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Diploma qualification required. Skills in Instrumentation, Control Systems preferred."
65,ICICI BANK LIMITED,Banking & Financial Services,Private,Risk Management Intern,Rajkot,Graduate,"['Risk Assessment', 'Analytics', 'Compliance']",12,12,5000,6000,On-site,31-12-2025,Internship opportunity in Risk Management Intern at ICICI BANK LIMITED located in Rajkot. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Risk Assessment, Analytics preferred."
66,ICICI BANK LIMITED,Banking & Financial Services,Private,Risk Management Intern,Dhanbad,Graduate,"['Risk Assessment', 'Analytics', 'Compliance']",11,12,5000,6000,On-site,31-12-2025,Internship opportunity in Risk Management Intern at ICICI BANK LIMITED located in Dhanbad. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Risk Assessment, Analytics preferred."
67,ICICI BANK LIMITED,Banking & Financial Services,Private,Risk Management Intern,Jabalpur,Graduate,"['Risk Assessment', 'Analytics', 'Compliance']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Risk Management Intern at ICICI BANK LIMITED located in Jabalpur. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Risk Assessment, Analytics preferred."
68,ICICI BANK LIMITED,Banking & Financial Services,Private,Loan Processing Intern,Gwalior,Graduate,"['Loan Processing', 'Documentation', 'Verification']",4,12,5000,6000,On-site,31-12-2025,Internship opportunity in Loan Processing Intern at ICICI BANK LIMITED located in Gwalior. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Loan Processing, Documentation preferred."
69,ICICI BANK LIMITED,Banking & Financial Services,Private,Loan Processing Intern,Faridabad,Graduate,"['Loan Processing', 'Documentation', 'Verification']",6,12,5000,6000,On-site,31-12-2025,Internship opportunity in Loan Processing Intern at ICICI BANK LIMITED located in Faridabad. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Loan Processing, Documentation preferred."
70,ICICI BANK LIMITED,Banking & Financial Services,Private,Loan Processing Intern,Pune,Graduate,"['Loan Processing', 'Documentation', 'Verification']",5,12,5000,6000,On-site,31-12-2025,Internship opportunity in Loan Processing Intern at ICICI BANK LIMITED located in Pune. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Loan Processing, Documentation preferred."
71,ICICI BANK LIMITED,Banking & Financial Services,Private,Banking Operations Intern,Meerut,Graduate,"['Banking', 'Customer Service', 'Excel']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Banking Operations Intern at ICICI BANK LIMITED located in Meerut. Gain hands-on experience in Banking & Financial Services sector.,"Minimum Graduate qualification required. Skills in Banking, Customer Service preferred."
